ID	RNAacc	CDSlen_ucsc	IntronLen_ucsc	UTRlen_ucsc	TotalLen_ucsc	CDSlen_GB	Q_bagel	SW_bagel	RW_bagel	Q/SW	log2Q/SW	P(Q>N)	P(Q>O)	P(N>Q)	P(N>O)	P(O>Q)	P(O>N)	Sig	FlyID	OGID	NoSpecies	AmelBranch	NvitBranch	ID2	CAI	ID3	Nc	ID4	Len_aa	Len_sym	GC	GC3s	GCn3s	GC1	GC2	GC3	T1	T2	T3	C1	C2	C3	A1	A2	A3	G1	G2	G3	RNAacc2	IntronGC	chromosome	start	end	RNAacc3	length	validLength	nrLength	gcContent	cpgContent	cpgOE	gpcContent	gpcOE	nrGCcontent	nrCpGcontent	nrCpGOE	nrGpCContent	nrGpCOE	abs_log2Q/SW 
GB15859	XM_624166	2886	2505	0	5391	2385														1357	4	0.21047	0.23776	GB15859-RA	0.891	GB15859-RA	33.99	GB15859-RA	794	770	0.302	0.07	0.413	0.463	0.345	0.098	0.19	0.272	0.422	0.186	0.207	0.03	0.346	0.383	0.48	0.277	0.139	0.068	XM_624166	0.16	chr8	6442423	6447814	XM_624166	5392	5392	4321	0.236090504	0.007790762	0.561364309	0.01706548	1.229655153	0.281416339	0.009291521	0.472240795	0.020905923	1.06254179	
GB15860	XM_396476	3882	8560	0	12442	3882														380	4	0.18332	0.26493	GB15860-RA	0.71	GB15860-RA	52.47	GB15860-RA	1293	1244	0.428	0.343	0.469	0.507	0.41	0.368	0.199	0.27	0.344	0.203	0.21	0.175	0.294	0.32	0.288	0.304	0.2	0.193	XM_396476	0.21	chr1	10585063	10597505	XM_396476	12443	12443	10463	0.277505425	0.024594117	1.278513764	0.022665166	1.178238174	0.315110389	0.029031331	1.170475199	0.027019258	1.089353155	
GB15861	XR_014927					153																		GB15861-RA	0.913	GB15861-RA	36.17	GB15861-RA	50	48	0.2	0.104	0.245	0.26	0.2	0.14	0.32	0.36	0.4	0.08	0.1	0.04	0.42	0.44	0.46	0.18	0.1	0.1																				
GB15862	XM_624009	1187	693	288	2168	1155													FBgn0000032	4108	4	0.18687	0.33085	GB15862-RA	0.871	GB15862-RA	36.86	GB15862-RA	384	366	0.276	0.077	0.369	0.385	0.323	0.12	0.229	0.297	0.448	0.169	0.208	0.034	0.385	0.38	0.432	0.216	0.115	0.086	XM_624009	0.13	chrUn	313692434	313694602	XM_624009	2169	2169	1773	0.225449516	0.008302583	0.653614597	0.013376384	1.053045739	0.26001128	0.0101983	0.603877575	0.016430595	0.972913871	
GB15863	XM_001120141					543	0.959619223	1.026907723	1.013473054	0.934474638	-0.097772585	0.1338	0.2477	0.8662	0.6657	0.7523	0.3343	NS	FBgn0000115	5798	4	0.012917	0.041648	GB15863-RA	0.823	GB15863-RA	42.56	GB15863-RA	180	172	0.352	0.186	0.429	0.467	0.367	0.222	0.211	0.322	0.344	0.133	0.167	0.072	0.322	0.311	0.433	0.333	0.2	0.15																				0.097772585
GB15864						324																		GB15864-RA	0.792	GB15864-RA	34.49	GB15864-RA	107	105	0.318	0.238	0.356	0.477	0.224	0.252	0.224	0.28	0.28	0.14	0.168	0.121	0.299	0.495	0.467	0.336	0.056	0.131																				
GB15865	XM_001121985					453													FBgn0037430	7415	4	0.10526	0.15042	GB15865-RA	0.556	GB15865-RA	42.15	GB15865-RA	150	139	0.558	0.719	0.486	0.453	0.48	0.74	0.267	0.307	0.133	0.2	0.353	0.34	0.28	0.213	0.127	0.253	0.127	0.4																				
GB15866	NM_001040226					453																		GB15866-RA	0.761	GB15866-RA	52	GB15866-RA	150	141	0.333	0.312	0.343	0.38	0.267	0.353	0.227	0.327	0.28	0.073	0.12	0.167	0.393	0.407	0.367	0.307	0.147	0.187																				
GB15867	XM_623779	1233	622	0	1855	1233													FBgn0037582	5392	4	0.021242	0.091023	GB15867-RA	0.818	GB15867-RA	39.3	GB15867-RA	410	397	0.352	0.181	0.433	0.417	0.432	0.207	0.21	0.261	0.402	0.154	0.266	0.088	0.373	0.307	0.39	0.263	0.166	0.12	XM_623779	0.11	chr1	6609712	6611567	XM_623779	1856	1856	1426	0.270474138	0.010781671	0.589851676	0.023180593	1.268181103	0.338709677	0.014084507	0.491547507	0.029577465	1.032249765	
GB15868						813																		GB15868-RA	0.654	GB15868-RA	43.98	GB15868-RA	270	265	0.499	0.392	0.55	0.637	0.456	0.404	0.111	0.285	0.396	0.219	0.237	0.259	0.252	0.259	0.2	0.419	0.219	0.144																				
GB15869	XM_625172	939	2625	316	3880	882																		GB15869-RA	0.746	GB15869-RA	48.45	GB15869-RA	293	280	0.381	0.275	0.431	0.444	0.392	0.307	0.215	0.222	0.358	0.188	0.218	0.16	0.341	0.386	0.334	0.256	0.174	0.147	XM_625172	0.2	chr5	12862282	12866162	XM_625172	3881	3881	2996	0.255861891	0.028865979	1.769990591	0.016494845	1.011423195	0.305740988	0.035881958	1.540780409	0.021126761	0.907188465	
GB15870	XM_001121139					465														9846	3	0.49996	1.012	GB15870-RA	0.838	GB15870-RA	30.11	GB15870-RA	154	152	0.273	0.178	0.319	0.377	0.253	0.188	0.234	0.24	0.344	0.117	0.182	0.052	0.39	0.506	0.468	0.26	0.071	0.136																				
GB15871	XM_623980	903	540	191	1634	903													FBgn0030671	6123	5	0.18651	0.25634	GB15871-RA	0.892	GB15871-RA	33.02	GB15871-RA	300	293	0.284	0.072	0.387	0.437	0.323	0.093	0.29	0.317	0.39	0.15	0.203	0.027	0.273	0.36	0.517	0.287	0.12	0.067	XM_623980	0.09	chr10	3005920	3007554	XM_623980	1635	1635	1087	0.206116208	0.004283966	0.412061179	0.020195838	1.942574129	0.283348666	0.005555556	0.281535093	0.030555556	1.54844301	
GB15872	XM_396184	2490	1748	0	4238	2481													FBgn0023508	667	4	0.10733	0.11574	GB15872-RA	0.861	GB15872-RA	36.76	GB15872-RA	826	797	0.32	0.104	0.422	0.471	0.354	0.136	0.202	0.301	0.423	0.168	0.194	0.058	0.327	0.345	0.442	0.303	0.16	0.077	XM_396184	0.12	chr12	3240371	3244609	XM_396184	4239	4239	3041	0.240622788	0.007786692	0.544751657	0.018640868	1.304102451	0.313712595	0.010589014	0.434419588	0.025810721	1.058897746	
GB15873						519																		GB15873-RA	0.923	GB15873-RA	24.81	GB15873-RA	172	172	0.174	0.023	0.25	0.448	0.052	0.023	0.267	0.68	0.523	0.11	0.047	0.006	0.285	0.267	0.453	0.337	0.006	0.017																				
GB15874	XM_623380	457	148	0	605	429																		GB15874-RA	0.865	GB15874-RA	38.88	GB15874-RA	142	139	0.249	0.086	0.328	0.408	0.232	0.106	0.218	0.317	0.451	0.176	0.141	0.035	0.373	0.451	0.444	0.232	0.092	0.07	XM_623380	0.1	chrUn	253646997	253647602	XM_623380	606	606	476	0.216171617	0	0	0.01322314	1.135112955	0.260504202	0	0	0.016913319	1.001084697	
GB15875	XM_623979	843	18229	227	19299	843	1.055013955	0.96906737	0.975918676	1.08869	0.122593211	0.9237	0.9161	0.0763	0.4829	0.0839	0.5171	NS						GB15875-RA	0.598	GB15875-RA	51.12	GB15875-RA	280	275	0.608	0.6	0.612	0.643	0.575	0.607	0.146	0.196	0.179	0.193	0.407	0.314	0.211	0.229	0.214	0.45	0.168	0.293	XM_623979	0.36	chr10	1559188	1578487	XM_623979	19300	19300	17473	0.368911917	0.056272346	1.653901631	0.034924089	1.026454603	0.38693985	0.060527826	1.617400409	0.036775674	0.982704893	0.122593211
GB15876	XM_393133	732	2858	0	3590	732	0.934725035	1.024841876	1.040433089	0.912067566	-0.132787392	0.0771	0.0564	0.9229	0.438	0.9436	0.562	NS	FBgn0031906	6429	4	0.15742	0.18331	GB15876-RA	0.664	GB15876-RA	61	GB15876-RA	243	239	0.475	0.418	0.502	0.539	0.457	0.428	0.173	0.296	0.259	0.214	0.28	0.206	0.288	0.247	0.313	0.325	0.177	0.222	XM_393133	0.31	chrUn	384766	388356	XM_393133	3591	3591	3462	0.342522974	0.041225627	1.40558845	0.028969359	0.987710803	0.352686308	0.042799306	1.376328613	0.030075188	0.967149836	0.132787392
GB15877	XM_001120305					267																		GB15877-RA	0.886	GB15877-RA	27.48	GB15877-RA	88	81	0.318	0.086	0.421	0.489	0.307	0.159	0.17	0.295	0.409	0.102	0.136	0.057	0.341	0.398	0.432	0.386	0.17	0.102																				
GB15878	XM_001122161					729																		GB15878-RA	0.691	GB15878-RA	57.7	GB15878-RA	242	234	0.442	0.427	0.449	0.438	0.442	0.446	0.252	0.269	0.306	0.165	0.215	0.24	0.31	0.289	0.248	0.273	0.227	0.207																				
GB15879						1335																		GB15879-RA	0.842	GB15879-RA	38.97	GB15879-RA	444	429	0.29	0.154	0.354	0.383	0.304	0.182	0.218	0.297	0.374	0.146	0.167	0.095	0.399	0.399	0.444	0.236	0.137	0.088																				
GB15880	XM_396808	1581	568	251	2400	1581														1994	4	0.15694	0.050932	GB15880-RA	0.841	GB15880-RA	39.65	GB15880-RA	526	496	0.346	0.155	0.433	0.424	0.411	0.203	0.245	0.251	0.432	0.198	0.23	0.074	0.331	0.338	0.365	0.226	0.181	0.129	XM_396808	0.13	chrUn	251567324	251569724	XM_396808	2401	2401	2033	0.284881299	0.015416667	0.763601191	0.025833333	1.279547942	0.326119036	0.018271605	0.690382402	0.030617284	1.156856997	
GB15881	XM_395917	1146	1442	92	2680	1146													FBgn0000566	3617	4	0.15921	0.20691	GB15881-RA	0.891	GB15881-RA	33.69	GB15881-RA	381	368	0.305	0.057	0.423	0.462	0.365	0.089	0.22	0.325	0.48	0.171	0.234	0.018	0.318	0.31	0.43	0.291	0.131	0.071	XM_395917	0.11	chrUn	59098946	59101626	XM_395917	2681	2631	1455	0.19118206	0.003423355	0.378534451	0.015595283	1.724434721	0.296907216	0.004854369	0.2221727	0.025658807	1.174341412	
GB15882	XM_393536	981	484	0	1465	981	1.078033252	0.976414782	0.945551966	1.104073056	0.142835637	0.9515	0.9805	0.0485	0.6786	0.0195	0.3214	NS		2824	4	0.022133	0.023466	GB15882-RA	0.865	GB15882-RA	38.09	GB15882-RA	326	315	0.34	0.114	0.448	0.475	0.402	0.144	0.206	0.258	0.503	0.144	0.212	0.043	0.319	0.34	0.353	0.331	0.19	0.101	XM_393536	0.1	chrUn	11266200	11267665	XM_393536	1466	1466	1101	0.259890859	0.008191126	0.51049786	0.020477816	1.276244649	0.324250681	0.010938924	0.442448282	0.026435734	1.069250016	0.142835637
GB15883	XM_624033	1779	379	0	2158	2025													FBgn0035002	2750	5	0.24205	0.3275	GB15883-RA	0.86	GB15883-RA	36.46	GB15883-RA	674	658	0.263	0.111	0.337	0.352	0.306	0.132	0.294	0.378	0.467	0.16	0.199	0.056	0.355	0.316	0.401	0.191	0.107	0.076	XM_624033	0.14	chrUn	25100811	25102969	XM_624033	2159	2159	1924	0.248726262	0.005097312	0.329990904	0.016218721	1.049971059	0.272349272	0.005732152	0.309569668	0.018238666	0.984994397	
GB15884	XM_397058	3333	52328	0	55661	2766													FBgn0010407	828	5	0.07093	0.07598	GB15884-RA	0.769	GB15884-RA	47.92	GB15884-RA	921	886	0.372	0.264	0.424	0.426	0.4	0.292	0.229	0.256	0.342	0.188	0.204	0.152	0.345	0.344	0.366	0.238	0.195	0.14	XM_397058	0.29	chr8	174	55835	XM_397058	55662	53852	45901	0.291892595	0.034561527	1.622587199	0.023585782	1.107300238	0.326703122	0.040107478	1.50315234	0.027371824	1.025844162	
GB15885						147																		GB15885-RA	0.919	GB15885-RA	31.24	GB15885-RA	48	46	0.292	0.043	0.408	0.479	0.312	0.083	0.208	0.333	0.354	0.104	0.125	0.021	0.312	0.354	0.562	0.375	0.188	0.062																				
GB15886	XM_393589	2603	14548	442	17593	2472	1.154792548	0.972645173	0.872562279	1.187270117	0.247648201	0.8939	0.9793	0.1061	0.8261	0.0207	0.1739	NS	FBgn0022201	1749	4	0.061798	0.13639	GB15886-RA	0.777	GB15886-RA	44.03	GB15886-RA	823	802	0.409	0.236	0.492	0.479	0.492	0.255	0.179	0.228	0.373	0.17	0.301	0.111	0.343	0.279	0.372	0.309	0.191	0.145	XM_393589	0.26	chrUn	21232164	21249757	XM_393589	17594	17457	14945	0.280632411	0.0326554	1.662351408	0.022056717	1.122816302	0.317162931	0.037924554	1.512056334	0.025641026	1.022310654	0.247648201
GB15887	XM_001122416					1197																		GB15887-RA	0.888	GB15887-RA	35.13	GB15887-RA	398	378	0.288	0.077	0.386	0.384	0.357	0.123	0.302	0.357	0.472	0.176	0.236	0.033	0.314	0.286	0.405	0.209	0.121	0.09																				
GB15888	XM_392359	786	19248	444	20478	786														4412	4	0	0.10257	GB15888-RA	0.651	GB15888-RA	57.8	GB15888-RA	261	248	0.492	0.52	0.479	0.506	0.425	0.544	0.222	0.23	0.226	0.192	0.215	0.303	0.272	0.345	0.23	0.314	0.211	0.241	XM_392359	0.3	chr5	5164677	5185155	XM_392359	20479	20479	18920	0.305190683	0.044437933	1.910136628	0.025588436	1.09990285	0.325158562	0.048019907	1.818540602	0.027530707	1.042603212	
GB15889	XM_001122131					645																		GB15889-RA	0.852	GB15889-RA	36.62	GB15889-RA	214	201	0.307	0.114	0.395	0.425	0.327	0.168	0.266	0.36	0.449	0.145	0.164	0.047	0.308	0.313	0.383	0.28	0.164	0.121																				
GB15890	XM_624914	1014	77	226	1317	1014																		GB15890-RA	0.889	GB15890-RA	31.57	GB15890-RA	337	321	0.274	0.103	0.354	0.362	0.315	0.145	0.3	0.318	0.386	0.125	0.175	0.045	0.338	0.368	0.469	0.237	0.139	0.101	XM_624914	0.13	chrUn	28007803	28009120	XM_624914	1318	1318	1112	0.246585736	0.004555809	0.310645492	0.017463933	1.19080772	0.282374101	0.005420054	0.280835345	0.020776874	1.076535488	
GB15891						480																		GB15891-RA	0.742	GB15891-RA	50.18	GB15891-RA	159	152	0.373	0.303	0.406	0.478	0.308	0.333	0.208	0.277	0.396	0.201	0.151	0.17	0.314	0.415	0.27	0.277	0.157	0.164																				
GB15892	XM_396066	2099	2193	0	4292	519																		GB15892-RA	0.866	GB15892-RA	34.88	GB15892-RA	172	166	0.281	0.078	0.377	0.36	0.372	0.11	0.279	0.395	0.43	0.099	0.209	0.047	0.36	0.233	0.459	0.262	0.163	0.064	XM_396066	0.15	chrUn	237610263	237614555	XM_396066	4293	4293	2958	0.207780107	0.003494874	0.328095171	0.015377446	1.443618752	0.26673428	0.004760286	0.271911318	0.022101326	1.262445406	
GB15893	XM_001120877					1005													FBgn0026192	4675	4	0.006102	0.093601	GB15893-RA	0.872	GB15893-RA	35.25	GB15893-RA	334	330	0.337	0.094	0.457	0.512	0.395	0.105	0.18	0.281	0.47	0.186	0.225	0.033	0.308	0.323	0.425	0.326	0.171	0.072																				
GB15894	XM_001120111					1122																		GB15894-RA	0.514	GB15894-RA	46.49	GB15894-RA	373	368	0.638	0.769	0.574	0.606	0.536	0.772	0.153	0.19	0.113	0.273	0.338	0.394	0.241	0.273	0.115	0.332	0.198	0.378																				
GB15895	XM_396005	885	1037	201	2123	915													FBgn0033783	6209	5	0.25635	0.067155	GB15895-RA	0.845	GB15895-RA	36.64	GB15895-RA	304	293	0.286	0.143	0.354	0.342	0.342	0.174	0.266	0.286	0.405	0.115	0.158	0.069	0.391	0.372	0.421	0.227	0.184	0.105	XM_396005	0.17	chr5	13247422	13249545	XM_396005	2124	2124	1713	0.224105461	0.009891663	0.794604877	0.013659915	1.097311497	0.258610625	0.011124122	0.674260062	0.016393443	0.993646407	
GB15896	XM_396763	2562	5543	734	8839	2475														1209	4	0.020934	0.082072	GB15896-RA	0.817	GB15896-RA	41.37	GB15896-RA	824	790	0.407	0.146	0.53	0.544	0.496	0.181	0.187	0.22	0.42	0.246	0.28	0.064	0.269	0.284	0.399	0.297	0.216	0.117	XM_396763	0.24	chr5	9161930	9170769	XM_396763	8840	8029	5688	0.275376759	0.015447863	0.814931008	0.025787966	1.360409021	0.351090014	0.021570014	0.700749174	0.035537482	1.154512984	
GB15897						1677																		GB15897-RA	0.682	GB15897-RA	53.44	GB15897-RA	558	532	0.398	0.434	0.382	0.421	0.314	0.461	0.231	0.278	0.228	0.176	0.149	0.194	0.348	0.409	0.312	0.246	0.165	0.267																				
GB15898	XM_397038	4188	25516	0	29704	4188																		GB15898-RA	0.617	GB15898-RA	54.79	GB15898-RA	1395	1324	0.472	0.576	0.423	0.459	0.358	0.598	0.222	0.307	0.222	0.164	0.193	0.283	0.319	0.335	0.18	0.295	0.166	0.315	XM_397038	0.35	chrUn	2434549	2464253	XM_397038	29705	29654	28338	0.366021447	0.057635235	1.720881845	0.034095508	1.018028991	0.376808526	0.060068549	1.692288745	0.035581782	1.002432216	
GB15899						933																		GB15899-RA	0.822	GB15899-RA	42.99	GB15899-RA	310	297	0.306	0.168	0.371	0.39	0.326	0.203	0.277	0.419	0.468	0.165	0.203	0.09	0.332	0.255	0.329	0.226	0.123	0.113																				
GB15900						129																		GB15900-RA	0.728	GB15900-RA		GB15900-RA	42	40	0.302	0.25	0.326	0.357	0.262	0.286	0.214	0.452	0.31	0.19	0.095	0.119	0.429	0.286	0.405	0.167	0.167	0.167																				
GB15901	XM_001120374					1959	0.951514017	0.996396934	1.052089049	0.954954782	-0.066495673	0.4977	0.1456	0.5023	0.1395	0.8544	0.8605	NS	FBgn0010356	1108	5	0.037423	0.11909	GB15901-RA	0.802	GB15901-RA	43.42	GB15901-RA	652	629	0.365	0.205	0.44	0.483	0.377	0.233	0.23	0.279	0.36	0.164	0.229	0.094	0.287	0.344	0.406	0.319	0.149	0.14																				0.066495673
GB15902	XM_624680	1362	507	0	1869	1521																		GB15902-RA	0.872	GB15902-RA	37.16	GB15902-RA	506	486	0.281	0.128	0.353	0.389	0.291	0.162	0.267	0.269	0.435	0.146	0.16	0.069	0.344	0.441	0.403	0.243	0.13	0.093	XM_624680	0.16	chrUn	96187241	96189110	XM_624680	1870	1870	1656	0.252406417	0.006955591	0.442075735	0.023006956	1.462250509	0.278985507	0.007263923	0.378098438	0.026029056	1.354852737	
GB15903	XM_625072	1368	728	106	2202	1368													FBgn0014340	1964	5	8.60E-05	0.031862	GB15903-RA	0.818	GB15903-RA	39.63	GB15903-RA	455	434	0.341	0.166	0.422	0.451	0.367	0.204	0.2	0.237	0.409	0.176	0.152	0.073	0.349	0.396	0.387	0.275	0.215	0.132	XM_625072	0.15	chr5	12533889	12536091	XM_625072	2203	2203	1793	0.281434408	0.016802906	0.877199957	0.021344233	1.114281026	0.331288344	0.020716685	0.781848881	0.026315789	0.99315939	
GB15904	XM_397515	396	9190	188	9774	396	1.000346274	1.000785776	0.99886795	0.999560843	-0.000633709	0.5892	0.6753	0.4108	0.5923	0.3247	0.4077	NS						GB15904-RA	0.554	GB15904-RA	48.11	GB15904-RA	131	125	0.573	0.68	0.522	0.573	0.45	0.695	0.107	0.26	0.115	0.305	0.313	0.267	0.321	0.29	0.191	0.267	0.137	0.427	XM_397515	0.43	chr2	869828	879602	XM_397515	9775	9775	9436	0.432429668	0.077450379	1.66259551	0.043891958	0.942210665	0.438003391	0.079860006	1.672373968	0.045179765	0.946123918	0.000633709
GB15905	XM_001122092					2187	0.988012668	1.030491795	0.981495537	0.958777812	-0.060731573	0.2726	0.5799	0.7274	0.8	0.4201	0.2	NS	FBgn0051352	870	4	0.039021	0.019605	GB15905-RA	0.62	GB15905-RA	58.06	GB15905-RA	728	713	0.529	0.513	0.537	0.56	0.504	0.523	0.194	0.174	0.257	0.238	0.24	0.271	0.246	0.321	0.22	0.323	0.264	0.253																				0.060731573
GB15906						705	1.07891614	0.966645563	0.954438297	1.116144512	0.158523831	0.956	0.9784	0.044	0.6364	0.0216	0.3636	NS						GB15906-RA	0.532	GB15906-RA	51.6	GB15906-RA	234	229	0.543	0.712	0.461	0.564	0.346	0.718	0.107	0.244	0.137	0.188	0.201	0.278	0.329	0.41	0.145	0.376	0.145	0.44																				0.158523831
GB15907						639	1.083501197	0.947190947	0.969307856	1.143910001	0.19397355	0.992	0.9755	0.008	0.3114	0.0245	0.6886	NS						GB15907-RA	0.677	GB15907-RA	57.1	GB15907-RA	212	209	0.42	0.416	0.422	0.458	0.377	0.425	0.123	0.226	0.307	0.189	0.222	0.179	0.42	0.396	0.269	0.269	0.156	0.245																				0.19397355
GB15908	XM_001122188					4782	0.897072851	1.032225847	1.070701302	0.869066449	-0.202461606	0.0061	0.0006	0.9939	0.2297	0.9994	0.7703	W	FBgn0015933	209	4	0.11438	0.1284	GB15908-RA	0.645	GB15908-RA	55.11	GB15908-RA	1593	1545	0.444	0.493	0.421	0.492	0.332	0.508	0.185	0.276	0.227	0.186	0.168	0.212	0.323	0.392	0.266	0.306	0.164	0.296																				0.202461606
GB15909	XM_395295	1536	5452	181	7169	1653													FBgn0005427	2628	5	0.014652	0.03508	GB15909-RA	0.807	GB15909-RA	41.7	GB15909-RA	550	528	0.421	0.199	0.526	0.584	0.449	0.231	0.116	0.244	0.344	0.22	0.293	0.116	0.3	0.307	0.425	0.364	0.156	0.115	XM_395295	0.26	chr5	9498011	9505180	XM_395295	7170	7170	5454	0.29944212	0.024689636	1.102081293	0.035430325	1.581517787	0.373303997	0.032590683	0.936226129	0.046584423	1.338221529	
GB15910	XM_394277	1050	1622	0	2672	1050														4018	4	0.16529	0.18551	GB15910-RA	0.688	GB15910-RA	55.22	GB15910-RA	349	330	0.44	0.418	0.45	0.464	0.407	0.45	0.221	0.238	0.275	0.166	0.195	0.195	0.315	0.355	0.275	0.298	0.212	0.255	XM_394277	0.32	chr2	67471	70143	XM_394277	2673	2673	2513	0.368125701	0.056137725	1.664039397	0.034056886	1.009517234	0.387982491	0.059409888	1.586171482	0.035885167	0.958090157	
GB15911	XM_394435	2391	6630	230	9251	2391																		GB15911-RA	0.714	GB15911-RA	54.49	GB15911-RA	796	772	0.41	0.334	0.446	0.479	0.396	0.354	0.157	0.255	0.312	0.185	0.214	0.163	0.364	0.349	0.334	0.294	0.182	0.191	XM_394435	0.25	chr3	8952778	8962029	XM_394435	9252	9252	8673	0.294314743	0.030266998	1.402215556	0.02205167	1.021614191	0.310503863	0.032332564	1.346602586	0.023325635	0.97147758	
GB15912	XM_624982	771	14463	0	15234	867	0.906497776	1.060575203	1.032927021	0.854722771	-0.226471537	0.0175	0.0497	0.9825	0.6946	0.9503	0.3054	W						GB15912-RA	0.601	GB15912-RA	58.66	GB15912-RA	288	276	0.509	0.572	0.48	0.49	0.448	0.59	0.198	0.25	0.236	0.212	0.226	0.281	0.312	0.302	0.174	0.278	0.222	0.309	XM_624982	0.28	chrUn	59758877	59774111	XM_624982	15235	15185	13292	0.290352321	0.037212672	1.765887379	0.02331555	1.106414393	0.320643996	0.042326845	1.646984215	0.02655802	1.03340186	0.226471537
GB15913	XM_393837	1458	135	303	1896	1527														1461	4	0.047002	0.011739	GB15913-RA	0.869	GB15913-RA	35.99	GB15913-RA	508	484	0.335	0.122	0.435	0.451	0.392	0.163	0.262	0.293	0.404	0.159	0.25	0.055	0.287	0.315	0.433	0.291	0.142	0.108	XM_393837	0.21	chr12	3323732	3325628	XM_393837	1897	1897	1813	0.307854507	0.011075949	0.471497144	0.036919831	1.571657147	0.32046332	0.01160221	0.455988048	0.038674033	1.519960161	
GB15914	XM_623202	1134	605	1415	3154	1134	1.146236017	0.900689928	0.953074055	1.272620001	0.347801701	0.9883	0.9578	0.0117	0.2589	0.0422	0.7411	Q	FBgn0033882	3000	4	0.07251	0.18778	GB15914-RA	0.852	GB15914-RA	38.19	GB15914-RA	377	367	0.314	0.139	0.398	0.43	0.35	0.162	0.21	0.302	0.416	0.133	0.194	0.066	0.361	0.347	0.422	0.297	0.156	0.095	XM_623202	0.15	chr4	7595945	7599099	XM_623202	3155	3155	2292	0.240253566	0.010779962	0.757235177	0.021559924	1.514470354	0.29886562	0.014905743	0.677955009	0.029373082	1.335970166	0.347801701
GB15915	XM_396710	759	955	0	1714	825													FBgn0032171	5401	4	0.14548	0.14288	GB15915-RA	0.884	GB15915-RA	35.47	GB15915-RA	274	267	0.337	0.082	0.459	0.511	0.394	0.106	0.168	0.219	0.449	0.197	0.234	0.033	0.321	0.387	0.445	0.314	0.161	0.073	XM_396710	0.14	chrUn	16133410	16135124	XM_396710	1715	1715	1017	0.226239067	0.004084014	0.32500011	0.019836639	1.578571965	0.323500492	0.005952381	0.228440896	0.030753968	1.180277962	
GB15916	XM_623241	582	1620	401	2603	582	1.183105263	0.877192982	0.939701754	1.348740001	0.431612264	1	0.9998	0	0.072	0.0002	0.928	Q						GB15916-RA	0.746	GB15916-RA	51.58	GB15916-RA	193	184	0.378	0.283	0.423	0.528	0.29	0.316	0.197	0.311	0.415	0.171	0.13	0.145	0.275	0.399	0.269	0.358	0.161	0.171	XM_623241	0.27	chr11	391738	394341	XM_623241	2604	2604	2430	0.293010753	0.033422973	1.565916074	0.021513638	1.007945979	0.310288066	0.035891089	1.498821019	0.02310231	0.964758357	0.431612264
GB15917	XM_392226	807	30583	0	31390	807	0.96412801	1.023306188	1.012565802	0.942169628	-0.08594127	0.2085	0.2858	0.7915	0.6089	0.7142	0.3911	NS	FBgn0040351	6694	4	0.008049	0.028582	GB15917-RA	0.54	GB15917-RA	41.91	GB15917-RA	268	260	0.582	0.765	0.494	0.537	0.437	0.772	0.183	0.231	0.075	0.149	0.313	0.34	0.28	0.332	0.153	0.388	0.123	0.433	XM_392226	0.41	chr2	5057063	5088453	XM_392226	31391	31391	30450	0.413175751	0.073462886	1.721341396	0.040618031	0.951739063	0.417931034	0.074968777	1.716886083	0.041543417	0.951400267	0.08594127
GB15918	XM_623760	660	518	0	1178	660	0.958402152	1.037786602	1.003811246	0.923505998	-0.114806763	0.1084	0.2964	0.8916	0.776	0.7036	0.224	NS						GB15918-RA	0.782	GB15918-RA	43.48	GB15918-RA	219	214	0.37	0.229	0.438	0.484	0.379	0.247	0.174	0.274	0.283	0.155	0.16	0.119	0.342	0.347	0.47	0.329	0.219	0.128	XM_623760	0.18	chr13	8122195	8123373	XM_623760	1179	1179	970	0.284139101	0.022071307	1.128522845	0.026315789	1.345546469	0.331958763	0.026915114	1.017167958	0.032091097	1.21277718	0.114806763
GB15919	XM_624149	1592	2743	15	4350	1632													FBgn0035371	1611	5	0.017132	0.025181	GB15919-RA	0.811	GB15919-RA	43.55	GB15919-RA	543	520	0.376	0.212	0.453	0.47	0.413	0.245	0.199	0.267	0.416	0.133	0.227	0.118	0.331	0.32	0.339	0.337	0.186	0.127	XM_624149	0.19	chr1	17008849	17013199	XM_624149	4351	4351	3371	0.262238566	0.014712644	0.859288373	0.027586207	1.6111657	0.320973005	0.018474374	0.720301372	0.03545888	1.382513924	
GB15920						636																		GB15920-RA	0.636	GB15920-RA	58.03	GB15920-RA	211	201	0.477	0.498	0.468	0.479	0.431	0.521	0.232	0.261	0.246	0.194	0.242	0.19	0.289	0.308	0.232	0.284	0.19	0.332																				
GB15921	XM_393144	1809	1172	372	3353	1809	0.816844421	1.158424253	1.024731326	0.705134081	-0.504030483	0.0004	0.0111	0.9996	0.9471	0.9889	0.0529	W	FBgn0037203	2612	3	0.22298	0.20811	GB15921-RA	0.787	GB15921-RA	48.84	GB15921-RA	602	572	0.356	0.24	0.41	0.422	0.369	0.277	0.231	0.41	0.374	0.125	0.219	0.136	0.347	0.221	0.349	0.297	0.15	0.141	XM_393144	0.19	chrUn	10334192	10337545	XM_393144	3354	3354	3056	0.283840191	0.022069788	1.107004094	0.030122279	1.510910993	0.307591623	0.024278215	1.036353453	0.033136483	1.414482415	0.504030483
